시설명,시설위도,시설경도,시설기본주소,영업상태구분명,복지관리시설구분코드
하나시스(주),37.24271992,126.9805711,경기도 수원시 권선구 산업로155번길 17,영업,17
수원 레이몰드(주) 공장,37.24733333,126.9886572,경기도 수원시 권선구 산업로155번길 199,영업,17
1,37.24579096,126.987236,경기도 수원시 권선구 산업로155번길 214,영업,17
범진전자주식회사 수원공장,37.24584438,126.9889389,경기도 수원시 권선구 산업로155번길 217,영업,17
공장,37.24411819,126.9883303,경기도 수원시 권선구 산업로155번길 264,영업,17
(주)디엠씨,37.24502414,126.9877606,경기도 수원시 권선구 산업로155번길 280-46,영업,17
공장,37.24299414,126.9893291,경기도 수원시 권선구 산업로155번길 281,영업,17
(주)선익시스템 수원공장,37.24254358,126.9888458,경기도 수원시 권선구 산업로155번길 293,영업,17
(주)포콘스,37.24350272,126.9815119,경기도 수원시 권선구 산업로155번길 30,영업,17
공장,37.24390868,126.9800876,경기도 수원시 권선구 산업로155번길 37,영업,17
공장,37.24451135,126.9798135,경기도 수원시 권선구 산업로155번길 53,영업,17
수원동희산업공장,37.24263415,126.982319,경기도 수원시 권선구 산업로155번길 8,영업,17
(주)제이디 수원공장,37.2445387,126.9817794,경기도 수원시 권선구 산업로155번길 80,영업,17
대성 후드텍 수원공장,37.24129756,126.9812774,경기도 수원시 권선구 산업로156번길 10,영업,17
(주)모베이스전자,37.23743012,126.9845918,경기도 수원시 권선구 산업로156번길 100,영업,17
(주)알에프피티,37.23932597,126.9842983,경기도 수원시 권선구 산업로156번길 125-11,영업,17
(주)에이케이테크,37.23973788,126.9839603,경기도 수원시 권선구 산업로156번길 125-25,영업,17
공장,37.2389981,126.9844749,경기도 수원시 권선구 산업로156번길 125-5,영업,17
공장,37.23962932,126.9869918,경기도 수원시 권선구 산업로156번길 154,영업,17
공장,37.24011423,126.9875635,경기도 수원시 권선구 산업로156번길 160,영업,17
엠에스테크놀러지(주),37.24152066,126.9824515,경기도 수원시 권선구 산업로156번길 17,영업,17
대한엔지니어링,37.24110518,126.9857997,경기도 수원시 권선구 산업로156번길 171-16,영업,17
배다리공원,37.2402919,126.9850984,경기도 수원시 권선구 산업로156번길 171-33,영업,17
(주)에이앤아이 제2공장,37.2406785,126.9878929,경기도 수원시 권선구 산업로156번길 182,영업,17
승일테크유한책임회사(수원공장),37.24123175,126.9880281,경기도 수원시 권선구 산업로156번길 194,영업,17
(주)코아시스템즈,37.24157772,126.9860837,경기도 수원시 권선구 산업로156번길 197-17,영업,17
(주)에이앤아이 공장,37.24152662,126.9851982,경기도 수원시 권선구 산업로156번길 197-45,영업,17
프리닉스주식회사 수원공장,37.24206743,126.9845181,경기도 수원시 권선구 산업로156번길 197-50,영업,17
더샵 남양주퍼스트시티,37.73755299,127.1979778,경기도 남양주시 진접읍 부평로48번길 140,영업,17
지행역 동원베네스트 아파트,37.88878788,127.0583806,경기도 동두천시 이담로 89,영업,17
영신빌라,37.88834722,127.0585757,경기도 동두천시 이담로 92,영업,17
대운빌라,37.8883104,127.0588715,경기도 동두천시 이담로 94,영업,17
아이다빌,37.88814289,127.0592871,경기도 동두천시 이담로 98,영업,17
씨티PARK,37.88889432,127.060092,경기도 동두천시 이담로101번길 8,영업,17
월드리치빌 101동,37.90480746,127.0634998,경기도 동두천시 장고갯로 107,영업,17
월드리치빌 102동,37.90484857,127.0632768,경기도 동두천시 장고갯로 107-1,영업,17
월드리치빌 103동,37.90500066,127.0635832,경기도 동두천시 장고갯로 109,영업,17
그린파크빌,37.90520254,127.0634562,경기도 동두천시 장고갯로 111,영업,17
동두천생연동월드메르디앙,37.90504995,127.0645769,경기도 동두천시 장고갯로 116,영업,17
부천춘의동우편취급국,37.50578243,126.7861119,경기도 부천시 부천로 243,영업,17
꿈나무어린이집,37.51901514,126.7894483,경기도 부천시 수도로206번길 31-23,영업,17
sk위너스빌,37.51760693,126.7880698,경기도 부천시 수도로206번길 54-5,영업,17
와이드뷰,37.52229401,126.7888146,경기도 부천시 수도로215번길 42,영업,17
대한예수교장로회주찬양교회,37.26731677,126.9535974,경기도 수원시 권선구 매실로 24,영업,17
칠보회관,37.26784825,126.9546363,경기도 수원시 권선구 매실로 35-1,영업,17
노림경로당,37.26853747,126.9561151,경기도 수원시 권선구 매실로 47-19,영업,17
삼익2차아파트 지하주차장,37.26892817,126.9578696,"경기도 수원시 권선구 매실로 61 (호매실동, 삼익2차아파트)",영업,17
호매실GS아파트 지하주차장,37.26832937,126.9584686,"경기도 수원시 권선구 매실로 70 (호매실동, 호매실GS아파트)",영업,17
주차장,37.26832251,126.9564236,경기도 수원시 권선구 매실로53번길 11,영업,17
서전빌딩,37.26726475,126.9519473,경기도 수원시 권선구 매실로8번길 1,영업,17
현대아파트 지하주차장,37.25343514,127.0377487,"경기도 수원시 권선구 매탄로 11 (권선동, 현대아파트)",영업,17
삼천리2차아파트,37.25393429,127.0383943,"경기도 수원시 권선구 매탄로 25 (권선동, 삼천리권선2차아파트)",영업,17
경일산업(주),37.24429772,126.9821119,경기도 수원시 권선구 산업로 173-41,영업,17
범진아이엔디(주),37.24199203,126.9833005,경기도 수원시 권선구 산업로 174-14,영업,17
시립 산업3단지 어린이집,37.24197304,126.9841146,경기도 수원시 권선구 산업로 174-21,영업,17
공장,37.23962286,126.9801048,경기도 수원시 권선구 산업로92번길 94-13,영업,17
고색동 991-1 공장 ((주)세경하이테크),37.23909007,126.9801089,경기도 수원시 권선구 산업로92번길 94-17,영업,17
(주)테크온,37.239084,126.9793341,경기도 수원시 권선구 산업로92번길 94-20,영업,17
종교집회장,37.24166427,126.9620323,경기도 수원시 권선구 삼천병마로 1563-5,영업,17
영신중학교,37.24192097,126.9671133,경기도 수원시 권선구 삼천병마로1566번길 30,영업,17
오목천경로당,37.24232328,126.9654968,경기도 수원시 권선구 삼천병마로1566번길 44,영업,17
아주대학교 병원 지하주차장,37.27943857,127.0475194,"경기도 수원시 영통구 월드컵로 164 (원천동, 아주대학병원)",영업,17
아주대학교,37.28319217,127.0441282,경기도 수원시 영통구 월드컵로 206,영업,17
아주대학교우편취급국,37.28319217,127.0441282,경기도 수원시 영통구 월드컵로 206 (원천동),영업,17
초등학교,37.27533477,127.0576904,경기도 수원시 영통구 월드컵로 70,영업,17
정석아트빌3차,37.44385118,126.7809053,경기도 시흥시 수인로3402번길 24,영업,17
삼성빌라,37.44396427,126.7808635,경기도 시흥시 수인로3402번길 24-1,영업,17
두리파크빌B,37.44270475,126.7812039,경기도 시흥시 수인로3402번길 9,영업,17
헬시온,37.43628214,126.7796998,경기도 시흥시 수인로3409번길 64,영업,17
근영탑스빌 12차(B),37.43986952,126.7794062,경기도 시흥시 수인로3413번길 23-4,영업,17
근영탑스빌 11차(A),37.43913335,126.7778904,경기도 시흥시 수인로3413번길 37,영업,17
다세대주택,37.43880905,126.7773523,경기도 시흥시 수인로3413번길 43,영업,17
태림슈어빌,37.43842505,126.7764056,경기도 시흥시 수인로3413번길 51-1,영업,17
동완하이츠빌1동,37.43777548,126.7755323,경기도 시흥시 수인로3413번길 65,영업,17
동완하이츠빌2동,37.43769899,126.7757249,경기도 시흥시 수인로3413번길 67,영업,17
월드타워,37.31424925,126.8282812,경기도 안산시 단원구 광덕3로 135-18,영업,17
태정경로당,37.07408227,127.362328,경기도 안성시 삼죽면 보삼로 634-16,영업,17
해든팰리스,37.39333158,126.9130147,경기도 안양시 만안구 장내로 36,영업,17
안차랑 THE CLASS C동,37.39291118,126.9148852,경기도 안양시 만안구 장내로 50-16,영업,17
안차랑 THE CLASS A동,37.39326346,126.9148679,경기도 안양시 만안구 장내로 50-9,영업,17
다세대주택,37.39381533,126.9146094,경기도 안양시 만안구 장내로 51,영업,17
RAMS MALL,37.39385699,126.9157861,경기도 안양시 만안구 장내로 60,영업,17
안양3차성원상떼빌,37.39406159,126.9153641,경기도 안양시 만안구 장내로 61,영업,17
에스제이엠(주),37.24095996,126.9814109,경기도 수원시 권선구 산업로156번길 22,영업,17
정우엔텍(주)2공장,37.23922198,126.9835543,경기도 수원시 권선구 산업로156번길 69,영업,17
공장,37.23851577,126.9825314,경기도 수원시 권선구 산업로156번길 78,영업,17
(주)타이닉스,37.23864908,126.9835084,경기도 수원시 권선구 산업로156번길 79,영업,17
공장,37.23697963,126.9864151,경기도 수원시 권선구 산업로156번길 88-60,영업,17
명신산업사수원공장,37.23945021,126.9757042,경기도 수원시 권선구 산업로92번길 23,영업,17
(주)KM디지텍,37.2394966,126.9760588,경기도 수원시 권선구 산업로92번길 39,영업,17
ENJET,37.23956733,126.9764905,경기도 수원시 권선구 산업로92번길 45,영업,17
다세대주택,37.39497914,126.9202243,경기도 안양시 만안구 장내로100번길 21,영업,17
온누리베일리,37.39884464,126.9197236,경기도 안양시 만안구 장내로119번길 52,영업,17
행복한집,37.81778479,127.046579,경기도 양주시 평화로 1418-14,영업,17
정은빌라 1동,38.02166617,127.0744624,경기도 연천군 전곡읍 선사로 363,영업,17
뉴에코빌 1동,38.02219799,127.0750228,경기도 연천군 전곡읍 선사로 370,영업,17
동천빌라,38.02409258,127.0745425,경기도 연천군 전곡읍 선사로 388-3,영업,17
수성빌라,38.02409258,127.0745425,경기도 연천군 전곡읍 선사로 388-3,영업,17
가람에코빌,38.02404306,127.0740721,경기도 연천군 전곡읍 선사로 392,영업,17
전곡파출소,38.025586,127.0736201,경기도 연천군 전곡읍 선사로 410,영업,17
전곡석미아파트 101동,38.02576737,127.0728719,경기도 연천군 전곡읍 선사로 415,영업,17
석미모닝파크 201동,38.02647704,127.0728541,경기도 연천군 전곡읍 선사로 419,영업,17
기흥ICT밸리 SK V1 A동,37.28002299,127.1193559,경기도 용인시 기흥구 기흥로 58-1,영업,17
서홍마을 벽산블루밍,37.32434101,127.0830739,경기도 용인시 수지구 신봉1로48번길 45,영업,17
홍천중학교,37.32102442,127.0762218,경기도 용인시 수지구 신봉1로71번길 36,영업,17
청춘-디,37.74113293,127.0839649,경기도 의정부시 산단로68번길 119,영업,17
레저맨,37.741267,127.0850895,경기도 의정부시 산단로68번길 128,영업,17
지바이크,37.741418,127.0845899,경기도 의정부시 산단로68번길 134,영업,17
신영섬유,37.74125438,127.0833281,경기도 의정부시 산단로68번길 137,영업,17
나이스,37.74164503,127.0833414,경기도 의정부시 산단로68번길 141,영업,17
(주)미래원 F&C,37.74179266,127.0844062,경기도 의정부시 산단로68번길 148,영업,17
한도섬유,37.74198812,127.0830931,경기도 의정부시 산단로68번길 151,영업,17
지티빈스,37.74234212,127.0847245,경기도 의정부시 산단로68번길 152,영업,17
